"subject_id","itemA","itemB","domain_itemA","domain_itemB","trial_type_order","freesort_distance","causal_distance"
"subj_01","become hungry","jump up and down","bio","action","causation_first",0.41,0.94
"subj_01","choose what to do","jump up and down","mind","action","causation_first",0.32,0.81
"subj_01","sit down","jump up and down","action","action","causation_first",0.05,0.99
"subj_01","think about something","jump up and down","mind","action","causation_first",0.5,0.74
"subj_01","get tired","jump up and down","bio","action","causation_first",0.03,1
"subj_01","kick something","jump up and down","action","action","causation_first",0.52,0.75
"subj_01","feel scared","jump up and down","bio","action","causation_first",0.31,0.9
"subj_01","see something","sit down","mind","action","causation_first",0.57,0.03
"subj_01","get sick","sit down","bio","action","causation_first",0.48,0
"subj_01","hear something","sit down","mind","action","causation_first",0.18,0.2
"subj_01","reach for something","sit down","action","action","causation_first",0.45,0.27
"subj_01","remember something","sit down","mind","action","causation_first",0.47,0.02
"subj_01","experience pain","sit down","bio","action","causation_first",0.46,0
"subj_01","take a walk","sit down","action","action","causation_first",0.19,0.1
"subj_01","become hungry","sit down","bio","action","causation_first",0.58,0.09
"subj_01","choose what to do","sit down","mind","action","causation_first",0.49,0.09
"subj_01","jump up and down","sit down","action","action","causation_first",0.05,0
"subj_01","think about something","sit down","mind","action","causation_first",0.65,0.23
"subj_01","get tired","sit down","bio","action","causation_first",0.06,0
"subj_01","kick something","sit down","action","action","causation_first",0.61,0.2
"subj_01","feel scared","sit down","bio","action","causation_first",0.16,0.15
"subj_01","see something","think about something","mind","mind","causation_first",0.63,0
"subj_01","get sick","think about something","bio","mind","causation_first",0.92,0.22
"subj_01","hear something","think about something","mind","mind","causation_first",0.73,0
"subj_01","reach for something","think about something","action","mind","causation_first",0.45,0.2
"subj_01","remember something","think about something","mind","mind","causation_first",0.65,0
"subj_01","experience pain","think about something","bio","mind","causation_first",0.22,0
"subj_01","take a walk","think about something","action","mind","causation_first",0.5,0.08
"subj_01","become hungry","think about something","bio","mind","causation_first",0.04,0.09
"subj_01","choose what to do","think about something","mind","mind","causation_first",0.31,0
"subj_01","jump up and down","think about something","action","mind","causation_first",0.5,0
"subj_01","sit down","think about something","action","mind","causation_first",0.65,0.14
"subj_01","get tired","think about something","bio","mind","causation_first",0.63,0.25
"subj_01","kick something","think about something","action","mind","causation_first",0.23,0
"subj_01","feel scared","think about something","bio","mind","causation_first",0.86,0
"subj_01","see something","get tired","mind","bio","causation_first",0.71,0.39
"subj_01","get sick","get tired","bio","bio","causation_first",0.66,0
"subj_01","hear something","get tired","mind","bio","causation_first",0.36,0.37
"subj_01","reach for something","get tired","action","bio","causation_first",0.31,0.31
"subj_01","remember something","get tired","mind","bio","causation_first",0.62,0.52
"subj_01","experience pain","get tired","bio","bio","causation_first",0.52,0.19
"subj_01","take a walk","get tired","action","bio","causation_first",0.05,0
"subj_01","become hungry","get tired","bio","bio","causation_first",0.52,0.26
"subj_01","choose what to do","get tired","mind","bio","causation_first",0.37,0.21
"subj_01","jump up and down","get tired","action","bio","causation_first",0.03,0
"subj_01","sit down","get tired","action","bio","causation_first",0.06,0.36
"subj_01","think about something","get tired","mind","bio","causation_first",0.63,0.24
"subj_01","kick something","get tired","action","bio","causation_first",0.67,0.23
"subj_01","feel scared","get tired","bio","bio","causation_first",0.32,0.14
"subj_01","see something","kick something","mind","action","causation_first",0.31,0
"subj_01","get sick","kick something","bio","action","causation_first",0.66,0.65
"subj_01","hear something","kick something","mind","action","causation_first",0.56,0.26
"subj_01","reach for something","kick something","action","action","causation_first",0.68,0.71
"subj_01","remember something","kick something","mind","action","causation_first",0.36,0.25
"subj_01","experience pain","kick something","bio","action","causation_first",0.03,0
"subj_01","take a walk","kick something","action","action","causation_first",0.61,0.25
"subj_01","become hungry","kick something","bio","action","causation_first",0.35,0.26
"subj_01","choose what to do","kick something","mind","action","causation_first",0.56,0
"subj_01","jump up and down","kick something","action","action","causation_first",0.52,0.76
"subj_01","sit down","kick something","action","action","causation_first",0.61,0.25
"subj_01","think about something","kick something","mind","action","causation_first",0.23,0.34
"subj_01","get tired","kick something","bio","action","causation_first",0.67,0.37
"subj_01","feel scared","kick something","bio","action","causation_first",0.73,0
"subj_01","see something","feel scared","mind","bio","causation_first",0.53,0
"subj_01","get sick","feel scared","bio","bio","causation_first",0.28,0.24
"subj_01","hear something","feel scared","mind","bio","causation_first",0.07,0
"subj_01","reach for something","feel scared","action","bio","causation_first",0.73,0.34
"subj_01","remember something","feel scared","mind","bio","causation_first",0.41,0.11
"subj_01","experience pain","feel scared","bio","bio","causation_first",0.6,0
"subj_01","take a walk","feel scared","action","bio","causation_first",0.46,0.25
"subj_01","become hungry","feel scared","bio","bio","causation_first",0.81,0.25
"subj_01","choose what to do","feel scared","mind","bio","causation_first",0.76,0.07
"subj_01","jump up and down","feel scared","action","bio","causation_first",0.31,0.24
"subj_01","sit down","feel scared","action","bio","causation_first",0.16,0.26
"subj_01","think about something","feel scared","mind","bio","causation_first",0.86,0
"subj_01","get tired","feel scared","bio","bio","causation_first",0.32,0.74
"subj_01","kick something","feel scared","action","bio","causation_first",0.73,0.24
